Label;SkillsCount;SkillsCombinationRarity;SkillsCombinationRarityPerCrewRarity;MaxRarity;VoyRank;GauntletRank;ScienceSkillCore;ScienceSkillRangeMin;ScienceSkillRangeMax;SecuritySkillCore;SecuritySkillRangeMin;SecuritySkillRangeMax;CommandSkillCore;CommandSkillRangeMin;CommandSkillRangeMax;DiplomacySkillCore;DiplomacySkillRangeMin;DiplomacySkillRangeMax;EngineeringSkillCore;EngineeringSkillRangeMin;EngineeringSkillRangeMax;MedicineSkillCore;MedicineSkillRangeMin;MedicineSkillRangeMax;B_CMD;A_CMD;B_SCI;A_SCI;B_SEC;A_SEC;V_CMD_SCI;G_CMD_SCI;V_CMD_SEC;G_CMD_SEC;V_CMD_ENG;G_CMD_ENG;V_CMD_DIP;G_CMD_DIP;V_CMD_MED;G_CMD_MED;V_SCI_SEC;G_SCI_SEC;V_SCI_ENG;G_SCI_ENG;V_SCI_DIP;G_SCI_DIP;V_SCI_MED;G_SCI_MED;V_SEC_ENG;G_SEC_ENG;V_SEC_DIP;G_SEC_DIP;V_SEC_MED;G_SEC_MED;V_ENG_DIP;V_ENG_MED;V_DIP_MED;EventsCount;IsInPortal;DaysFromDateAdded;InCollectionsCount;IsInSeries_ds9;IsInSeries_dsc;IsInSeries_ent;IsInSeries_original;IsInSeries_pic;IsInSeries_tas;IsInSeries_tng;IsInSeries_tos;IsInSeries_voy;ShipBattleAccuracyMax;ShipBattleEvasionMax;ShipBattleCritChanceMax;ShipBattleCritBonusMax;ActionBonusAmount;ActionCooldown;ActionInitialCooldown;ActionDuration;ActionLimit;ActionBonusType;ActionAbilityCondition;ActionAbilityType;ActionAbilityAmount;ActionPenaltyType;ActionPenaltyAmount;TraitsCount;Traits;TraitsHidden
10;1;0.035971224;0.11111111;1;1026;1017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214;34;152;0;0;0;0;0;0;1025;0;1025;0;1026;0;1025;0;976;661;1025;0;1026;0;1025;0;950;465;1026;0;1025;0;962;627;1026;946;965;7;True;1943;1;False;False;False;False;False;False;False;True;False;130;100;40;0;1;10;6;10;0;2;0;0;0;0;0;4;Human,Federation,Starfleet,Nurse;female,organic,tos,ensign,chapel,crew_max_rarity_1
10;1;0.035971224;0.11111111;1;1024;1015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213;34;166;0;0;0;0;0;0;1024;0;1024;0;1025;0;1024;0;973;648;1023;0;1024;0;1023;0;948;445;1024;0;1023;0;958;615;1024;942;961;0;True;1943;1;False;False;False;False;False;False;True;False;False;170;105;35;0;1;8;6;1;1;2;0;2;35;0;0;4;Human,Federation,Starfleet,Nurse;female,organic,tng,ensign,ogawa,crew_max_rarity_1
10;2;0.035971224;0.074074075;1;1002;991;218;43;149;0;0;0;0;0;0;0;0;0;174;32;78;0;0;0;0;0;410;407;0;0;970;761;1012;0;981;776;1014;0;1014;0;963;743;809;379;964;743;918;456;969;706;1014;0;1014;0;977;949;1014;6;True;1943;1;False;False;False;False;False;False;True;False;False;215;55;70;125;2;12;8;10;0;1;0;0;0;0;1;4;Human,Federation,Civilian,Prodigy;male,organic,tng,wesley,crew_max_rarity_1
7;3;0.02877698;0.033333335;3;901;926;426;83;229;0;0;0;176;11;31;0;0;0;347;34;78;0;0;0;601;612;328;329;0;0;739;540;940;810;762;740;948;871;928;760;790;566;445;286;797;611;626;350;811;703;983;0;964;0;844;697;969;10;True;1943;1;False;False;False;False;False;False;True;False;False;290;190;0;0;4;10;6;8;0;2;0;6;800;0;0;5;Human,Federation,Starfleet,Prodigy,WarpTheorist;male,organic,tng,ensign,bridge_crew,wesley,crew_max_rarity_3
9;3;0.02877698;0.033333335;2;958;910;258;56;160;0;0;0;114;29;58;0;0;0;251;53;148;0;0;0;616;617;400;401;0;0;853;600;975;798;842;577;987;858;965;746;907;708;636;290;902;718;831;429;903;636;998;0;994;0;900;841;990;6;True;1943;1;False;False;False;False;False;False;True;False;False;205;165;25;50;4;6;3;6;2;1;0;0;0;0;0;4;Human,Federation,Starfleet,Prodigy;male,organic,tng,ensign,bridge_crew,wesley,crew_max_rarity_2
9;3;0.02877698;0.05221932;4;677;215;662;173;422;0;0;0;0;0;0;481;160;342;270;108;230;0;0;0;0;0;206;186;0;0;509;259;899;0;698;502;642;454;863;0;505;243;257;58;232;37;318;173;659;475;669;454;850;0;362;449;528;10;True;1943;0;False;False;False;False;False;False;True;False;False;300;450;30;500;9;12;4;10;0;1;0;0;0;0;0;5;Human,Federation,Starfleet,Prodigy,WarpTheorist;male,organic,tng,ensign,bridge_crew,wesley,lieutenant,crew_max_rarity_4
7;3;0.02877698;0.05732484;5;305;354;0;0;0;1145;72;143;1040;206;421;0;0;0;376;140;288;0;0;0;81;83;0;0;63;107;193;208;60;190;43;15;296;349;121;142;238;703;363;284;770;0;575;0;60;171;342;787;184;595;521;274;694;14;True;1943;1;False;False;False;False;False;False;False;True;False;640;850;345;595;9;12;12;5;0;2;0;1;250;0;0;9;Human,Augment,Engineered,Villain,CulturalFigure,Tactician,Resourceful,Survivalist,Brutal;nonhuman,male,organic,tos,khan,crew_max_rarity_5
4;3;0.02877698;0.033333335;3;877;897;0;0;0;502;44;126;0;0;0;395;83;219;161;22;44;0;0;0;0;0;0;0;369;426;979;0;779;750;913;804;814;646;968;0;774;773;856;578;788;619;934;0;609;588;627;477;698;638;700;842;720;22;True;1943;2;True;False;False;False;False;False;False;False;False;125;405;20;230;5;12;8;12;0;1;0;0;0;0;0;5;Cardassian,UndercoverOperative,Scoundrel,Interrogator,Civilian;nonhuman,male,organic,ds9,garak,crew_max_rarity_3
9;3;0.035971224;0.21443737;1;995;968;0;0;0;81;15;57;110;25;77;211;36;150;0;0;0;0;0;0;617;615;0;0;559;559;987;838;967;745;989;780;922;661;982;732;998;848;1005;0;963;748;1009;0;993;726;935;725;990;701;956;1009;945;22;True;1943;2;True;False;False;False;False;False;False;False;False;165;140;10;10;2;12;8;10;0;1;0;0;0;2;1;6;Ferengi,Bartender,Civilian,Scoundrel,Gambler,Merchant;nonhuman,male,organic,ds9,quark,crew_max_rarity_1
4;2;0.035971224;0.044444446;3;922;881;286;57;187;0;0;0;487;109;227;0;0;0;0;0;0;0;0;0;406;393;394;398;0;0;627;269;784;571;755;495;811;612;715;460;860;670;758;442;862;685;739;403;980;0;988;0;973;0;987;967;978;5;True;1943;1;False;False;False;False;False;False;True;False;False;650;585;129;265;5;10;12;12;0;0;0;7;20;1;2;5;Human,Hero,Pilot,Starfleet,Federation;bridge_crew,male,organic,castillo,tng,lieutenant,crew_max_rarity_3
